site_ID,Forest type,age,inyear,Forest age,
US-Me2,Oregon; mediterean; Is soil moisture important? Yes; ignoring soil moisture may overestimate acclimation; we do not has enough data for soil moisture,71,,"The stand was initiated ca. 1915, but the mean stand age is 71 years old",
US-MMS,no SC and no NEE; other data are good; increase NEE,70,,70 unsure how this was determined,
US-MOz,"more like hardwood, I see interannual variation, but not thermal acclimation; transition between hardwood and grassland",77,,NA,
US-Oho,oak opening;,46,,NA,
US-PFa,"miss lots of SWC; lack of acclimation, why?",106.3333333,,"125-150; ~2005; Wetland Stands, P. Bolstad; 70-80; ~2005; Sugar Maple, P. Bolstad; From Ryan Anderson WLEF biomass spreadsheet",
US-Slt,prescribed fire; disturbance affected; use it or not?,NA,,affected by disease,
US-Syv,"considered SWC; although acclimation, but monotonic relationship remains worrying",350,,It consists of trees aged up to 350 years old,
US-Uaf,"dominant sp/Black Spruce; dominant sp/multiple shrubs, mosses, and sedges; Qu 2023, ERL",94,,85 by 2014,
US-UMB,I should use base data in the future; night NEE reduced a lot?,97,,"After heavy logging, fire swept through the area in 1923 creating an even aged forest",
US-Wrc,"oldest forest, it only grows a lot in the first half year; very noisy data; R2 < 0.05",95,,(range 65-90) Bolstadt et al 2003,
CA-Qfo,"Qu 2023, ERL",,,100 in 2005,
CA-SMC,"Qu 2023, ERL",,,144 in 2019,
US-BZS,"Qu 2023, ERL",,,100 in 2014,
US-Prr,"Qu 2023, ERL",,,67 in 2012,
CA-HPC,"Qu 2023, ERL",,,109 in 2019,
CA-LP1,,,,,
CL-SDF,,,,,
DE-Hzd,"Pluntke 2023, JH",,,additionally the flux tower “Hetzdorf” DE-Hzd went into operation. This tower is within the catchment and collects flux data from a growing young oak forest after a wind break in 2007.,
FR-Bil,,,,,
FR-FBn,,,,,
US-CMW,,,,,
IT-Cpz,"Maselli et al., 2009, remote sensing of environment",,,55 in 2003,
IT-Col,"Maselli et al., 2009, remote sensing of environment",,,115 in 2003,
IT-Ren,"Maselli et al., 2009, remote sensing of environment",,,0-180 in 2003,
IT-Ro1,"Maselli et al., 2009, remote sensing of environment",,,3 in 2003,
IT-Ro2,"Maselli et al., 2009, remote sensing of environment",,,14 in 2003,
IT-PT1,"Maselli et al., 2009, remote sensing of environment",,,13 in 2003,
