Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Number of years of AmeriFlux BASE data,AmeriFlux BASE Data Start,AmeriFlux BASE Data End,Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,AmeriFlux FLUXNET Data Start,AmeriFlux FLUXNET Data End,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",Andy Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,No,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfc,"Subarctic: severe winter, no dry season, cool summer",428.53,0.34,Canada,53.6289,-106.1978,530,15,1996,2010,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1375197,,,,,1997,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",Warren Helgason (warren.helgason@usask.ca),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",405.6,0.79,Canada,53.9872,-105.1178,628.94,14,1997,2010,"1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1375198,,,,,1999,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
CA-Ojp,"Saskatchewan - Western Boreal, Mature Jack Pine",Warren Helgason (warren.helgason@usask.ca),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",430.5,0.12,Canada,53.9163,-104.692,579,15,1996,2010,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1375199,,,,,1999,,"CO2, D_SNOW, FC, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, VPD, WD, WS",
CA-Qcu,"Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover",Hank A. Margolis (Hank.Margolis@sbf.ulaval.ca),Legacy,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",949.78,0.13,Canada,49.2671,-74.0365,392.3,10,2001,2010,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246828,,,,,2001,,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",Hank A. Margolis (Hank.Margolis@sbf.ulaval.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",962.32,-0.36,Canada,49.6925,-74.3421,382,8,2003,2010,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246829,2003,2010,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2006960,2003,,"CO2, FC, G, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
CA-SCB,Scotty Creek Bog,Oliver Sonnentag (oliver.sonnentag@umontreal.ca),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfc,"Subarctic: severe winter, no dry season, cool summer",388,-2.8,Canada,61.3089,-121.2984,280,6,2014,2019,"2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1498754,2014,2019,"2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/2469439,2014,,"ALB, CO2, D_SNOW, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, PA, P_RAIN, RECO, RH, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",Brian Amiro (Brian_Amiro@umanitoba.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",470,0.4,Canada,54.2539,-105.8775,520,6,2001,2006,"2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/1246007,2001,2006,"2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/2006961,2001,2005,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",Brian Amiro (Brian_Amiro@umanitoba.ca),CC-BY-4.0,Yes,No,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Dfc,"Subarctic: severe winter, no dry season, cool summer",470,0.4,Canada,54.0916,-106.0053,540,6,2001,2006,"2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/1246008,,,,,2001,2006,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
CA-SJ2,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002",Alan Barr (alan.barr@usask.ca),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",430.03,0.11,Canada,53.945,-104.649,580,9,2002,2010,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1436321,,,,,2003,,"CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LEAF_WET, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SG, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, TSN, USTAR, WD, WS",
CA-SJ3,"Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine)",Alan Barr (alan.barr@usask.ca),Legacy,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",433.33,0.13,Canada,53.8758,-104.6453,,9,2002,2010,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1436322,,,,,2004,,"D_SNOW, FC, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, TSN, USTAR, WD, WS",
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036,8,Canada,42.6609,-80.5595,265,16,2002,2017,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246009,2002,2017,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/2006962,2003,,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SWC, SW_IN, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036,8,Canada,42.7744,-80.4588,212,7,2002,2008,"2002, 2003, 2004, 2005, 2006, 2007, 2008",https://doi.org/10.17190/AMF/1246010,,,,,2003,2008,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SWC, SW_IN, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036,8,Canada,42.7068,-80.3483,184,16,2002,2017,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246011,2002,2017,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1881566,2003,,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SWC, SW_IN, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036,8,Canada,42.7102,-80.3574,184,16,2002,2017,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246012,,,,,2003,,"CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD",
CA-TPD,Ontario - Turkey Point Mature Deciduous,M. Altaf Arain (arainm@mcmaster.ca),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1036,8,Canada,42.6353,-80.5577,260,6,2012,2017,"2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1246152,2012,2017,"2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1881567,2012,,"CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
CA-WP1,"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen",Lawrence B. Flanagan (larry.flanagan@uleth.ca),Legacy,Yes,No,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfc,"Subarctic: severe winter, no dry season, cool summer",461.07,1.1,Canada,54.9538,-112.467,540,7,2003,2009,"2003, 2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1436323,,,,,2003,,"CO2, D_SNOW, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS, WTD",
CL-SDF,Senda Darwin Forest,Juan J. Armesto (jarmesto@bio.puc.cl),CC-BY-4.0,Yes,Yes,EBF,Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage.,Cfb,"Marine West Coast: mild with no dry season, warm summer",2110,10,Chile,-41.883,-73.676,50,9,2014,2022,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1902273,2014,2021,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2469441,2014,,"CO2, CO2_MIXING_RATIO, FC, FETCH_70, FETCH_90, FETCH_MAX, G, GPP, H, H2O, H2O_MIXING_RATIO, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, P_RAIN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",
CL-SDP,Senda Darwin Peatland,Jorge Perez-Quezada (jorgepq@uchile.cl),CC-BY-4.0,Yes,No,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Cfb,"Marine West Coast: mild with no dry season, warm summer",2110,10,Chile,-41.879,-73.666,50,9,2014,2022,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1902274,,,,,2014,,"CO2, CO2_MIXING_RATIO, FC, FETCH_70, FETCH_90, FETCH_MAX, G, GPP, H, H2O, H2O_MIXING_RATIO, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, P_RAIN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",
